figure_id,comparison_id,reference,other,modality,metric,mean_diff,p_raw,p_holm,n_pairs,ci_lo,ci_hi
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,participation_ratio_intrin,0.015848,0.697623,1.000000,100,-0.007185,0.039555
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,spectral_decay_rate_intrin,-0.051792,0.000000,0.000000,100,-0.067842,-0.035803
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_ARMA,scCCVGBen_GAT,scCCVGBen_ARMA,scrna,trajectory_directionality_intrin,-0.047410,0.001755,0.019302,100,-0.079333,-0.015390
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,ASW,0.192288,0.000000,0.000000,100,0.180344,0.204822
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,CAL,3169.167994,0.000000,0.000000,100,2729.472177,3651.854107
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,DAV,-0.478516,0.000000,0.000000,100,-0.522261,-0.436971
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,K_max_tsne,-287.310000,0.000000,0.000000,100,-321.480250,-255.938250
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,K_max_umap,-258.400000,0.000000,0.000000,100,-287.401000,-231.774500
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,Q_global_tsne,-0.036964,0.000000,0.000000,100,-0.043704,-0.030279
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,Q_global_umap,-0.043981,0.000000,0.000000,100,-0.052167,-0.036130
fig05,fig05_scCCVGBen_GAT_vs_scCCVGBen_Cheb,scCCVGBen_GAT,scCCVGBen_Cheb,scrna,Q_local_tsne,0.101149,0.000000,0.000000,100,0.091162,0.111662
